,business_name,telephone,email,business_page,rank,category,website,rating,street,locality,region,zipcode,listing_url
0,AutoZone Auto Parts,(510) 208-1914,customer.service@autozone.com,https://www.yellowpages.com/oakland-ca/mip/autozone-auto-parts-475775694,1. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/oakland/807-27th-st.html,,807 27th St,"Oakland, CA 94607",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
1,AutoZone Auto Parts,(415) 550-8630,customer.service@autozone.com,https://www.yellowpages.com/san-francisco-ca/mip/autozone-auto-parts-468724347,10. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/san-francisco/1575-s-van-ness-ave.html,,1575 Van Ness Ave,"San Francisco, CA 94109",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
2,AutoZone Auto Parts,(510) 635-2115,customer.service@autozone.com,https://www.yellowpages.com/oakland-ca/mip/autozone-auto-parts-5536747,11. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/oakland/10111-international-st.html,,10111 International Blvd,"Oakland, CA 94603",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
3,AutoZone Auto Parts,(925) 608-4315,customer.service@autozone.com,https://www.yellowpages.com/martinez-ca/mip/autozone-auto-parts-549318754,12. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/martinez/3815-alhamabra-ave.html,,3815 Alhambra Ave,"Martinez, CA 94553",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
4,AutoZone Auto Parts,(510) 351-4718,customer.service@autozone.com,https://www.yellowpages.com/san-leandro-ca/mip/autozone-auto-parts-472720238,13. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/san-leandro/14850-e-14th-st.html,1,14850 E 14th St,"San Leandro, CA 94578",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
5,AutoZone Auto Parts,(925) 825-9671,customer.service@autozone.com,https://www.yellowpages.com/pacheco-ca/mip/autozone-auto-parts-22088155,14. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/pacheco/5747-pacheco-blvd.html,2,5747 Pacheco Blvd,"Pacheco, CA 94553",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
6,AutoZone Auto Parts,(925) 798-5265,customer.service@autozone.com,https://www.yellowpages.com/concord-ca/mip/autozone-auto-parts-482128839,15. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/concord/2051-monument-blvd.html,,2051 Monument Blvd,"Concord, CA 94520",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
7,AutoZone Auto Parts,(650) 755-5145,customer.service@autozone.com,https://www.yellowpages.com/daly-city-ca/mip/autozone-auto-parts-462579438,16. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/daly-city/6212-mission-st.html,,6212 Mission St,"Daly City, CA 94014",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
8,AutoZone Auto Parts,(510) 481-5010,customer.service@autozone.com,https://www.yellowpages.com/san-lorenzo-ca/mip/autozone-auto-parts-318983,17. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/san-lorenzo/17750-hesperian-blvd.html,,17750 Hesperian Blvd,"San Lorenzo, CA 94580",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
9,AutoZone Auto Parts,(707) 553-1820,customer.service@autozone.com,https://www.yellowpages.com/vallejo-ca/mip/autozone-auto-parts-474127743,18. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/vallejo/3020-s-sonoma-blvd.html,1,3020 Sonoma Blvd,"Vallejo, CA 94590",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
10,AutoZone Auto Parts,(707) 557-4453,customer.service@autozone.com,https://www.yellowpages.com/vallejo-ca/mip/autozone-auto-parts-4950750,19. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/vallejo/730-adml-callaghan-ln.html,,730 Admiral Callaghan Ln,"Vallejo, CA 94591",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
11,AutoZone Auto Parts,(510) 236-6650,customer.service@autozone.com,https://www.yellowpages.com/richmond-ca/mip/autozone-auto-parts-4024091,2. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/richmond/13102-san-pablo-ave.html,,13102 San Pablo Ave,"Richmond, CA 94805",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
12,AutoZone Auto Parts,(510) 583-6245,customer.service@autozone.com,https://www.yellowpages.com/hayward-ca/mip/autozone-auto-parts-2361557,20. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/hayward/24060-mission-blvd.html,,24060 Mission Blvd,"Hayward, CA 94544",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
13,AutoZone Auto Parts,(925) 681-1484,customer.service@autozone.com,https://www.yellowpages.com/concord-ca/mip/autozone-auto-parts-9524568,21. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/concord/5267-clayton-rd.html,,5267 Clayton Rd,"Concord, CA 94521",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
14,AutoZone Auto Parts,(510) 244-5583,customer.service@autozone.com,https://www.yellowpages.com/hayward-ca/mip/autozone-auto-parts-546500561,22. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/hayward/3455-arden-rd.html,,3455 Arden Rd,"Hayward, CA 94545",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
15,AutoZone Auto Parts,(650) 697-3504,customer.service@autozone.com,https://www.yellowpages.com/millbrae-ca/mip/autozone-auto-parts-498966,23. ,"Automobile Parts & Supplies,Automobile Accessories,Battery Supplies",https://www.autozone.com/locations/ca/millbrae/320-el-camino-real.html,,320 El Camino Real,"Millbrae, CA 94030",,,https://www.yellowpages.com/search?search_terms=AutoZone&geo_location_terms=Berkeley%2C+CA&s=distance&page=1
